Rank,username,Name,Category,Subscribers,Audience Country,Avg. Views,Avg. Likes
83,NoCopyrightSounds,NoCopyrightSounds,Music & Dance,32500000,United States,372400,14600
84,Mikecrack,Mikecrack,MoviesAnimation,32300000,Mexico,3900000,297000
85,sonypalindia,Sony PAL,Other,32300000,India,9800,114
86,SSSniperWolf,SSSniperWolf,Humor,32100000,United States,4400000,114400
87,tseriesapnapunjab,T-Series Apna Punjab,Music & Dance,32100000,India,24800,906
88,KHANDESHI MOVIES,KHANDESHI MOVIES,Other,31900000,India,2200000,20800
89,IndiaTV,IndiaTV,News & Politics,31700000,India,11500,191
90,GENIAL,GENIAL,Animation,31300000,Mexico,47900,1700
91,cancionesdelagranja,La Granja de Zenón,Music & DanceAnimation,31300000,Other,459200,2400
92,ARY Digital HD,ARY Digital HD,Other,31100000,Pakistan,7300,79
93,harpalgeo,HAR PAL GEO,Other,31100000,Pakistan,3400,27
94,erosentertainment,Eros Now Music,Other,30900000,India,17700,476
95,Luis Fonsi,Luis Fonsi,Other,30900000,United States,19200,1500
96,SMTOWN,SMTOWN,Music & Dance,30700000,United States,312900,38400
97,juptube,Galinha Pintadinha,Music & Dance,30700000,Other,20900000,71900
98,MrBean,Mr Bean,Other,30600000,India,178300,3100
99,AllTrapNation,Trap Nation,Music & Dance,30500000,United States,89300,2400
100,Ricis Official,Ricis Official,Music & DanceMovies,30300000,Indonesia,542600,31200
101,tseriesoldisgold,Bollywood Classics,Music & Dance,30300000,India,29600,534
102,rajshri,Rajshri,Other,30100000,India,11800,110
103,AH,AH,Music & DanceMovies,29900000,Indonesia,736200,36600
104,latenight,The Tonight Show Starring Jimmy Fallon,MoviesHumor,29700000,United States,154900,4100
105,DisneyMusicVEVO,DisneyMusicVEVO,Music & DanceMovies,29700000,United States,34100,661
106,SpinninRec,Spinnin' Records,Music & Dance,29700000,United States,56500,2100
107,rezendeevil,rezendeevil,MoviesHumor,29700000,Brazil,304300,32300
108,qzMendShawqz,Shawn Mendes,Other,29500000,United States,0,0
109,SongsOfIndianCinema,Saregama Music,Music & Dance,29300000,India,30500,814
110,BabyBus - Kids Songs and Cartoons,BabyBus - Kids Songs and Cartoons,AnimationToys,29100000,Other,880300,3500
111,xoxxxoooxo,The Weeknd,Music & Dance,28700000,United States,465000,42600
112,jacksepticeye,jacksepticeye,Video games,28500000,United States,1800000,117400
113,UltraRecords,Ultra Music,Music & Dance,28500000,United States,21100,821
114,ImagineDragons,ImagineDragons,Music & Dance,28300000,United States,311800,19200
