Rank,username,Name,Category,Subscribers,Audience Country,Avg. Views,Avg. Likes
350,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,Education,16900000,Other,36100,211
351,ArabGamesNetwork,شبكة العاب العرب | Arab Games Network,Other,16900000,Algeria,289000,24800
352,JasonDerulo,Jason Derulo,Music & Dance,16800000,United States,51300,3400
353,IGNentertainment,IGN,Other,16700000,United States,58100,1400
354,Rafa & Luiz,Rafa & Luiz,Video games,16700000,Brazil,553000,34500
355,Tu COSMOPOLIS,Tu COSMOPOLIS,News & Politics,16700000,Mexico,99100,7600
356,Jane ASMR 제인,Jane ASMR 제인,Daily vlogs,16700000,United States,381000,7000
357,हिंदी - Genevieve's Playhouse,हिंदी - Genevieve's Playhouse,Education,16700000,Other,2000000,16200
358,jquintanac5,DeToxoMoroxo,MoviesAnimation,16700000,Mexico,480300,19700
359,AnittaOficial,Anitta,Music & Dance,16700000,Brazil,36000,3600
360,Triggered Insaan,Triggered Insaan,Humor,16500000,India,7000000,759000
361,TheBrianMaps,TheBrianMaps,Video gamesHumor,16500000,Russia,3200000,255400
362,iberethenorio,Manual do Mundo,Science & Technology,16400000,Brazil,375800,44600
363,IDEAS EN 5 MINUTOS,IDEAS EN 5 MINUTOS,Other,16400000,Mexico,32900,369
364,Junya Official Channel,Junya Official Channel,Other,16400000,Japan,399000,2300
365,monstafluffmusicTV,7clouds,Music & Dance,16300000,United States,131500,2400
366,zbingzbing,zbing z.,AnimationVideo games,16300000,Thailand,608100,18700
367,DUDU e CAROL,DUDU e CAROL,Other,16300000,Brazil,1400000,153500
368,ppextras,ExtraPolinesios,Daily vlogs,16300000,Mexico,54200,4300
369,SonyMusicSouthVEVO,SonyMusicSouthVEVO,Music & Dance,16300000,Other,714900,17200
370,Antrax,Antrax,Video games,16100000,Mexico,1600000,95200
371,tanboy kun,tanboy kun,Music & Dance,16100000,Indonesia,1700000,57500
372,Prajapati News,Prajapati News,Other,16100000,India,30100,1500
373,Sandra Cires Art,Sandra Cires Art,Other,16100000,Colombia,1100000,69700
374,queenofficial,Queen Official,Music & DanceMovies,16100000,United States,167100,9200
375,Dhar Mann,Dhar Mann,Health & Self Help,16100000,United States,5900000,121400
376,SOMOY TV,SOMOY TV,Daily vlogs,16100000,Bangladesh,7700,163
377,Goldmines Great Indian Comedy,Goldmines Great Indian Comedy,Other,16100000,India,11200,113
378,lescopaque,Les' Copaque Production,Other,16100000,Indonesia,27900,400
379,MatthewPatrick13,The Game Theorists,Science & Technology,16000000,United States,1900000,113100
380,Camila Cabello,Camila Cabello,Music & DanceMovies,15900000,United States,323800,19700
381,TRANSTVofficial,TRANS TV Official,Music & Dance,15900000,Indonesia,970,13
382,Sourav Joshi Vlogs,Sourav Joshi Vlogs,Daily vlogs,15900000,India,5600000,524100
383,Blippi - Educational Videos for Kids,Blippi - Educational Videos for Kids,EducationToys,15900000,Other,1600000,5100
384,DopeLyrics,DopeLyrics,Music & Dance,15900000,United States,12400,408
385,boyceavenue,Boyce Avenue,Music & Dance,15900000,Brazil,209900,5900
386,failarmy,FailArmy,AnimationHumor,15900000,United States,2100000,19600
387,Aayu and Pihu Show,Aayu and Pihu Show,MoviesHumor,15900000,India,3800000,91500
388,Apple,Apple,Music & DanceAnimation,15900000,Other,2500000,20100
389,marquesbrownlee,Marques Brownlee,Science & Technology,15900000,United States,2000000,93700
390,vice,VICE,News & Politics,15900000,United States,409700,7800
391,El Reino a Jugar,El Reino a Jugar,EducationToys,15900000,Other,509800,1700
392,Kaykai Salaider,Kaykai Salaider,MoviesHumor,15900000,Thailand,1000000,62100
393,Kids Play,Kids Play,Other,15900000,Other,57700,442
394,Sony AATH,Sony AATH,Other,15700000,Bangladesh,93900,1200
395,rkddigital,RKD Studios,Other,15700000,India,62300,914
396,movieclipsTRAILERS,Movieclips Trailers,MoviesAnimation,15700000,United States,61200,1000
397,JenniferLopez,Jennifer Lopez,Music & DanceMovies,15700000,Other,304000,11100
398,MegatoadStonie,Matt Stonie,Food & Drinks,15700000,United States,2100000,122500
399,Zappy Toons - Hindi Nursery Rhymes and Stories,Zappy Toons - Hindi Nursery Rhymes and Stories,Education,15700000,Other,131100,707
400,PitbullMusic,Pitbull,Music & Dance,15700000,United States,82900,4100
401,Ivana Alawi,Ivana Alawi,Daily vlogs,15700000,Philippines,4300000,203800
402,indiancomedy,Shemaroo Comedy,Other,15700000,India,72600,781
403,AMARINTV : อมรินทร์ทีวี,AMARINTV : อมรินทร์ทีวี,News & Politics,15700000,Thailand,9300,118
404,Jason Vlogs,Jason Vlogs,AnimationToys,15700000,Other,484300,1300
405,Sidemen,Sidemen,Video gamesHumor,15600000,United Kingdom,7900000,366100
406,Katie Angel,Katie Angel,Other,15600000,Mexico,708600,65300
407,Dyland PROS,Dyland PROS,MoviesAnimation,15500000,Indonesia,65300,4100
408,popchartbusters,Pop Chartbusters,Music & Dance,15500000,India,11900,422
409,RomanAtwoodVlogs,Roman Atwood Vlogs,MoviesHumor,15500000,United States,384900,19100
410,AdMe,AdMe,Animation,15500000,Russia,32700,1200
411,Fede Vigevani,Fede Vigevani,Other,15500000,Mexico,3600000,258500
412,KSIOlajidebtHD,JJ Olatunji,Other,15500000,United States,5400000,401100
413,OGatoGalactico,Gato Galactico | GALÁXIA,Animation,15400000,Brazil,90800,4000
414,Sidhu Moose Wala,Sidhu Moose Wala,Music & Dance,15400000,India,33800000,3500000
415,portalfitdance,FitDance,Music & Dance,15300000,Other,30800,993
416,wifistudy,wifistudy,Education,15300000,India,7700,533
417,Oyuncak Avı,Oyuncak Avı,Other,15300000,Other,55200,0
418,Dushyant kukreja,Dushyant kukreja,Other,15300000,India,6500000,426500
419,RCTI - LAYAR DRAMA INDONESIA,RCTI - LAYAR DRAMA INDONESIA,Music & DanceMovies,15300000,Indonesia,24700,394
420,CamiloMusicaVideo,Camilo,Music & Dance,15300000,Colombia,161700,9000
421,News24page,News24,News & Politics,15300000,India,6900,106
422,Kerajinan 5-Menit,Kerajinan 5-Menit,Music & Dance,15100000,Indonesia,21800,212
423,TheRichest,TheRichest,News & Politics,15100000,United States,21300,813
424,LOKESH GAMER,LOKESH GAMER,Other,15100000,India,510200,53500
425,SAM SMITH,SAM SMITH,Other,15100000,United States,24500,2800
426,SriBalajiMovies,SriBalajiMovies,Other,15100000,India,8100,74
427,With Kids[위드키즈],With Kids[위드키즈],Other,15100000,United States,172400,0
428,T3DDYgames,T3ddy,Daily vlogs,15100000,Brazil,854500,92500
429,حِرف إبداعية في 5 دقائق,حِرف إبداعية في 5 دقائق,Other,15100000,Egypt,37800,483
430,Smile Family Spanish,Smile Family Spanish,Animation,15100000,Other,431900,3000
431,ntvru,НТВ,News & Politics,15000000,Russia,82300,901
432,makeuplocalypse,Mariale,Other,15000000,Mexico,226000,10700
433,ranziscool,Ranz Kyle,Humor,14900000,Philippines,647500,25700
434,TalkingFriends,Talking Tom & Friends,AnimationHumor,14900000,United States,386500,3100
435,5-Minute Crafts FAMILY,5-Minute Crafts FAMILY,Other,14900000,United States,21700,232
436,popskids,POPS Kids,Animation,14900000,Indonesia,2300,15
437,Makiman131,Makiman131,MoviesAnimation,14900000,Spain,330900,21400
438,Like Nastya IDN,Like Nastya IDN,Music & DanceMovies,14900000,Other,111200,0
439,kwebbelkop,Kwebbelkop,AnimationVideo games,14900000,United States,99800,2600
440,bbtvch7,Ch7HD,Other,14900000,Thailand,10600,181
441,newvolgavideo,Volga Video,Other,14900000,India,3900,33
442,hejproducao,Henrique e Juliano,Music & Dance,14900000,Brazil,60800,2700
443,RiotGamesInc,League of Legends,MoviesAnimation,14900000,United States,539100,24600
444,Super Senya,Super Senya,AnimationToys,14900000,Other,13800,104
445,LEGO,LEGO,Animation,14900000,United States,25900,433
446,Dave and Ava - Nursery Rhymes and Baby Songs,Dave and Ava - Nursery Rhymes and Baby Songs,Education,14900000,Other,269000,1100
447,Lachlan,Lachlan,Video games,14900000,United States,667300,27900
448,La Rosa de Guadalupe,La Rosa de Guadalupe,Other,14700000,Mexico,17700,446
449,Niana Guerrero,Niana Guerrero,Music & DanceHumor,14700000,Philippines,478200,18900
450,IDEIAS INCRÍVEIS,IDEIAS INCRÍVEIS,Other,14700000,Brazil,14800,303
451,zncoficial,Zé Neto e Cristiano,Other,14700000,Brazil,0,0
452,laharimusic,Lahari Music | T-Series,Music & Dance,14700000,India,11400,301
453,Like Nastya VNM,Like Nastya VNM,Other,14700000,Other,484600,0
454,LinusTechTips,Linus Tech Tips,Science & Technology,14700000,United States,1400000,60800
455,iTownGamePlay,iTownGamePlay *Terror&Diversión*,News & Politics,14700000,Mexico,342200,11800
456,GMMTVSPOTLIKE,GMMTV OFFICIAL​​,Music & DanceMovies,14700000,Thailand,26300,631
457,majorlazer,Major Lazer Official,Music & DanceMovies,14700000,United States,0,0
458,mkmusicnews,MK MUSIC,Music & Dance,14700000,Brazil,27000,1300
459,LEGENDA FUNK,LEGENDA FUNK,Music & DanceAnimation,14700000,Brazil,7000,371
460,Planeta das Gêmeas,Planeta das Gêmeas,Toys,14700000,Other,415300,20600
461,Alejo Igoa,Alejo Igoa,DIY & Life Hacks,14600000,Argentina,7500000,173500
462,XpressTV,XpressTV,Science & Technology,14500000,Mexico,1900000,50200
463,حقائق وأسرار,حقائق وأسرار,Other,14500000,Egypt,35000,1300
464,Daftar Populer,Daftar Populer,News & Politics,14500000,Indonesia,96600,2300
465,ndtvindia,NDTV India,News & Politics,14500000,India,18700,477
466,FueledByRamen,Fueled By Ramen,Other,14500000,United States,575500,17800
467,Bizarrap,Bizarrap,Music & DanceMovies,14500000,Argentina,0,0
468,Maha Fun Tv,Maha Fun Tv,Other,14500000,India,0,0
469,MattyBRaps,MattyBRaps,Music & DanceMovies,14500000,United States,1600000,7800
470,jemproducoes,Jorge & Mateus Oficial,Music & Dance,14500000,Brazil,32900,3600
471,Drawblogs,Drawblogs,MoviesAnimation,14500000,Mexico,160600,3900
472,collegehumor,CollegeHumor,MoviesHumor,14500000,United States,628700,35100
473,Canal Nostalgia,Canal Nostalgia,Science & Technology,14500000,Other,358500,98500
474,MonsieurDream,Cyprien,MoviesAnimation,14500000,France,2300000,215000
475,chadwildclay,Chad Wild Clay,MoviesHumor,14500000,United States,2100000,40700
476,theslowmoguys,The Slow Mo Guys,Other,14500000,United States,1200000,62200
477,Mobile Legends: Bang Bang Official,Mobile Legends: Bang Bang Official,MoviesAnimation,14500000,Indonesia,177100,2500
478,Super Polina,Super Polina,Other,14500000,Russia,9100,74
479,bbchindi,BBC News Hindi,News & Politics,14400000,India,162200,0
480,Johny FamilyShow,Johny FamilyShow,Music & DanceToys,14300000,Other,78200,341
481,Arif muhammad,Arif muhammad,Music & DanceMovies,14300000,Indonesia,2900000,83900
482,thairathonline,Thairath Online,News & Politics,14300000,Thailand,17100,219
483,News18 India,News18 India,News & Politics,14300000,India,6000,82
484,MartinGarrix,Martin Garrix,Music & Dance,14300000,United States,46400,1800
485,alanalan9635,Stokes Twins,Video gamesHumor,14300000,United States,13700000,567400
486,BollywoodClassics,Bollywood Classics,Music & Dance,14300000,India,10800,182
487,And TV,And TV,Other,14300000,India,895,21
488,TeamFilmsBhojpuri,Team Films Bhojpuri,Music & DanceMovies,14300000,India,21200,476
489,elcanaldePlimPlim,Plim Plim - Kids Songs & Episodes - Spanish ,Music & Dance,14300000,Other,399900,3700
490,MrBeast Shorts,MrBeast Shorts,Daily vlogs,14300000,United States,11400000,836500
491,Genierock,Genierock,Music & Dance,14300000,Thailand,51200,918
492,PlayStation,PlayStation,Other,14300000,United States,35400,1100
493,Gyan Gamingㅤ,Gyan Gamingㅤ,Other,14300000,India,390300,42400
494,OfficialTrapCity,Trap City,Music & Dance,14300000,United States,31700,1700
495,narendramodionline,NMF News,News & Politics,14300000,India,14800,325
496,Technoblade,Technoblade,Video games,14200000,United States,67500000,7600000
497,Zach King,Zach King,MoviesHumor,14100000,United States,475900,29000
498,MRamadanOfficial,Mohamed Ramadan I محمد رمضان,Other,14100000,Egypt,18900000,130700
499,Dangal TV Channel,Dangal TV Channel,Other,14100000,India,43200,354
500,TWICE,TWICE,Music & DanceMovies,14100000,Philippines,1200000,95500
501,#Refugio Mental,#Refugio Mental,Movies,14100000,Argentina,527600,5700
502,inventonahoratv,Invento na Hora,AnimationHumor,14100000,Brazil,1100000,134300
503,camilaloures,Camila Loures,MoviesHumor,14100000,Brazil,304900,24800
504,Wow Kidz Action,Wow Kidz Action,Other,14100000,Other,117500,1200
505,pognalishow,Дима Масленников,Video games,14100000,Russia,4500000,402000
506,CH8vdo,ช่อง8 : Thai Ch8,Other,14100000,Thailand,5800,81
507,CNN,CNN,Music & DanceAnimation,14100000,United States,203600,3300
508,F2Freestylers,F2Freestylers - Ultimate Soccer Skills Channel,Sports,14100000,United Kingdom,425400,17000
509,MasterskayaNastroeny,Мастерская Настроения,MoviesVideo games,14100000,Russia,323500,8100
510,Zach Choi ASMR,Zach Choi ASMR,Daily vlogs,14100000,United States,840600,34900
511,Anasala I أنس و أصالة ,Anasala I أنس و أصالة ,Other,14100000,Egypt,2600000,186400
512,TheABSCBNNews,ABS-CBN News,News & Politics,13900000,Philippines,4300,44
513,Daily Dose Of Internet,Daily Dose Of Internet,Animals & Pets,13900000,United States,5900000,273800
514,Unspeakable,Unspeakable,Video gamesHumor,13900000,United States,6500000,86400
515,zeefilmimusic,Zee Music Classic,Music & Dance,13900000,India,45300,599
516,Doc Tops,Doc Tops,Animation,13900000,Mexico,793500,36300
517,AM3NlC,AM3NlC,Food & Drinks,13900000,Brazil,210200,24600
518,NikkieTutorials,NikkieTutorials,Design/artBeauty,13900000,United States,347700,23000
519,O Canal do Joãozinho - Little Angel Português,O Canal do Joãozinho - Little Angel Português,Animation,13900000,Other,834100,4600
520,bomberball,Bie The Ska,Other,13900000,Thailand,779400,23700
521,DM - Desi Melodies,DM - Desi Melodies,Music & Dance,13900000,India,316100,5700
522,UFC,UFC - Ultimate Fighting Championship,Sports,13900000,United States,106700,2400
523,A2 Motivation by {Arvind Arora},A2 Motivation by {Arvind Arora},Other,13900000,India,407000,47800
524,mispastelitosyoutub,Mis Pastelitos,Food & Drinks,13900000,Mexico,1200000,35000
525,Трум Трум,Трум Трум,HumorToys,13900000,Other,468200,6000
526,Fun For Kids TV - Hindi Rhymes,Fun For Kids TV - Hindi Rhymes,Other,13800000,Other,239600,1400
527,YOLO AVENTURAS,YOLO AVENTURAS,Other,13800000,Colombia,1500000,109800
528,Kuplinov ► Play,Kuplinov ► Play,Video games,13700000,Russia,1900000,147500
529,ChallengeAcceptedInc,Aphmau,AnimationVideo games,13700000,United States,3600000,76900
530,dangmattsmith,Dang Matt Smith,AnimationHumor,13700000,Other,219000,6500
531,WWWengie,Wengie,DIY & Life Hacks,13700000,United States,67000,3800
532,EdisonPts,EdisonPts,Video games,13700000,Russia,1800000,130400
533,vetealaversha,Darkar Company Studios,AnimationVideo games,13700000,Mexico,0,0
534,Taarak Mehta Ka Ooltah Chashmah,Taarak Mehta Ka Ooltah Chashmah,Other,13700000,India,491900,6500
535,MAIKI021,MAIKI021,MoviesAnimation,13700000,Brazil,19600,3300
536,Blippi Español,Blippi Español,ToysEducation,13700000,Other,370600,1800
537,LIV Crime,LIV Crime,Daily vlogs,13700000,India,316700,3100
538,NOBRU,NOBRU,Video gamesToys,13700000,Brazil,359700,40000
539,RosannaPansino,Rosanna Pansino,DIY & Life Hacks,13700000,United States,1500000,28900
540,TazerCraft,TazerCraft,MoviesAnimation,13700000,Brazil,451200,33300
541,Auron,Auron,Video games,13700000,Mexico,1600000,107500
542,MNCTVOfficial,MNCTV OFFICIAL ,Music & Dance,13700000,Indonesia,5500,119
543,fcbarcelona,FC Barcelona,Sports,13500000,United States,130700,9700
544,The World Adventures हिन्दी,The World Adventures हिन्दी,Daily vlogs,13500000,Other,24800,1300
545,Hongyu ASMR 홍유,Hongyu ASMR 홍유,ASMR,13500000,United States,1700000,17600
546,MazhavilManorama,Mazhavil Manorama,Other,13500000,India,19600,248
547,crashcourse,CrashCourse,Science & Technology,13500000,United States,27600,1300
548,gmmchannel,GMM25Thailand,Other,13500000,Thailand,2900,36
549,Dan Rhodes,Dan Rhodes,AnimationToys,13500000,India,544700,54700
550,infobells,infobells,AnimationToys,13500000,Other,17100,103
551,Kurt Hugo Schneider,Kurt Hugo Schneider,Other,13500000,United States,369600,2000
552,Zig & Sharko,Zig & Sharko,Other,13500000,Other,208000,1600
553,SrtaLynaV,Lyna,MoviesAnimation,13500000,Mexico,405600,28600
554,boplayhard,PlayHard,Other,13500000,Brazil,479900,50100
555,AzzyLand,AzzyLand,Animation,13400000,United States,210700,7500
556,Online Job,Online Job,Other,13300000,India,7100,310
557,ZEE5,ZEE5,Other,13300000,India,1500,21
558,H2ODelirious,H2ODelirious,AnimationVideo games,13300000,United States,137800,8300
559,GallinaPintadita,Gallina Pintadita,Animation,13300000,Other,870500,3100
560,Aadishakti Films,Aadishakti Films,Music & Dance,13300000,Other,35400,900
561,Narins Beauty,Narins Beauty,Other,13300000,Iraq,2400000,202300
562,FAPtivi,FAPTV,AnimationHumor,13300000,United States,1400000,20700
563,Kim Loaiza,Kim Loaiza,Music & Dance,13300000,Mexico,19000000,979100
564,TV Ana Emilia,TV Ana Emilia,Other,13300000,Mexico,194200,11000
565,telemundotv,Telemundo,Other,13300000,Argentina,5100,72
566,ABCNews,ABC News,News & Politics,13300000,United States,6500,86
567,5-Minute Crafts Recycle,5-Minute Crafts Recycle,Other,13300000,India,56500,476
568,AtlanticVideos,Atlantic Records,Music & Dance,13300000,United States,0,0
569,MyMissAnand,MyMissAnand,MoviesHumor,13300000,India,2300000,73100
570,MY FAMILY,MY FAMILY,Other,13300000,India,9400000,41700
571,iloveindianmakeup,Anaysa,MoviesHumor,13300000,India,535100,21400
572,Jake Fellman,Jake Fellman,Other,13300000,United States,589600,26600
573,JD Pantoja,JD Pantoja,Music & Dance,13200000,Mexico,903700,127900
574,Wish 107.5,Wish 107.5,Music & Dance,13200000,Philippines,122600,3300
575,Matheus Yurley,Matheus Yurley,Other,13100000,Brazil,58000,8100
576,theRadBrad,theRadBrad,Video games,13100000,United States,189500,10400
577,YOLO,YOLO,Other,13100000,Mexico,2100000,155200
578,The LaBrant Fam,The LaBrant Fam,Music & DanceHumor,13100000,United States,1300000,37300
579,Vlad and Niki ARA,Vlad and Niki ARA,Other,13100000,Other,443000,3500
580,The Q,The Q,Other,13100000,United States,36900000,408400
581,Busy Fun Ltd,Busy Fun Ltd,Other,13100000,India,9100000,40500
582,Desi Gamers,Desi Gamers,Other,13100000,India,564300,85500
583,123 GO! Spanish,123 GO! Spanish,Animation,13100000,Mexico,319900,4300
584,PrestonPlayz,PrestonPlayz,AnimationVideo games,13100000,United States,2200000,44500
585,SRKASSAMESE,SRK MUSIC,Music & Dance,13100000,India,45100,1800
586,The Shiny Peanut,The Shiny Peanut,Other,12900000,Indonesia,28000,614
587,djzoi0,Everson Zoio,MoviesAnimation,12900000,Brazil,256600,36500
588,ETV Jabardasth,ETV Jabardasth,Other,12900000,India,112100,2100
589,Zhong,Zhong,Other,12900000,United States,3800000,215500
590,MattSDance,Matt Steffanina,Music & DanceMovies,12900000,United States,176700,8300
591,PozzitifonShow,Поззи,Video games,12900000,Russia,732100,34500
592,DALLMYD,DALLMYD,Mystery,12900000,United States,375000,17100
593,MrSuicideSheep,MrSuicideSheep,Other,12900000,United States,77000,3600
594,JDCav24,ATHLEAN-X™,FitnessHealth & Self Help,12900000,United States,307500,15300
595,NishaMadhulika,NishaMadhulika,Food & Drinks,12900000,India,162100,4200
596,O Que Não Dizer Oficial,O Que Não Dizer Oficial,MoviesAnimation,12900000,Brazil,426800,52900
597,twentyonepilots,twenty one pilots,Music & Dance,12900000,United States,14800,2300
598,typicalgamer,Typical Gamer,Video games,12900000,United States,489900,12400
599,Alex Gonzaga Official,Alex Gonzaga Official,Music & DanceHumor,12900000,Philippines,2800000,111000
600,RedeTVhdBrasil,RedeTV,News & Politics,12900000,Brazil,2800,93
601,MstrJames,Hacksmith,Video games,12700000,United States,284800,13400
602,Zeinab Harake,Zeinab Harake,Daily vlogs,12700000,Philippines,3000000,219100
603,Daniel LaBelle,Daniel LaBelle,Other,12700000,United States,18300000,584300
604,OReinho,O Reino Infantil,Music & Dance,12700000,Other,129300,639
605,#Refúgio Mental,#Refúgio Mental,MoviesAnimation,12700000,Brazil,272000,6400
606,The MriDul,The MriDul,Other,12700000,India,15200000,389300
607,zeetvtelugu,Zee Telugu,Other,12700000,India,8000,106
608,PowerfulJRE,PowerfulJRE,Daily vlogs,12700000,United States,647500,16500
609,1032010814,TKOR,DIY & Life Hacks,12700000,United States,71600,2000
610,Like Nastya Stories,Like Nastya Stories,Other,12700000,Other,105600,788
611,HusamYK,Katakit Baby TV,Music & Dance,12700000,Saudi Arabia,164700,1500
612,einerdtv,Ei Nerd,MoviesAnimation,12700000,Brazil,293000,42700
613,bbcnews,BBC News,News & Politics,12700000,United Kingdom,115300,1600
614,MusicTalentNow,Top Viral Talent,Other,12700000,United States,12500,286
615,أترو/Atro,أترو/Atro,Other,12700000,Iraq,531600,79000
616,BUDI01 GAMING,BUDI01 GAMING,MoviesAnimation,12700000,Indonesia,1500000,107400
617,ГЛЕНТ,ГЛЕНТ,Video games,12700000,Russia,2900000,209700
618,Health Time,Health Time,Daily vlogs,12700000,India,2500,97
619,Vlad and Niki ESP,Vlad and Niki ESP,Other,12600000,Other,473800,3100
620,MrSirpirriplin,Ami Rodriguez,Other,12500000,Colombia,2800000,339900
621,Coke Studio,Coke Studio,Music & DanceMovies,12500000,Pakistan,456100,6400
622,jazzghost1,Jazzghost,AnimationVideo games,12500000,Brazil,1000000,63200
623,htpunjabi,Lokdhun Punjabi,Music & Dance,12500000,India,2100000,34300
624,Blossom,Blossom,Other,12500000,United States,43000,1100
625,Lady Diana,Lady Diana,Music & Dance,12500000,Russia,1900000,69300
626,tseriesregional,T-Series Regional,Music & Dance,12500000,India,4200,96
627,hamaarbhojpuri,T-Series Hamaar Bhojpuri,Music & Dance,12500000,India,22400,592
628,JesseAndMike,JesseAndMike,Other,12500000,United States,775000,11900
629,Crescendo com Luluca,Crescendo com Luluca,Toys,12500000,Brazil,1100000,50500
630,Dear Sir,Dear Sir,Education,12500000,India,119300,8900
631,canalparafernalha,Parafernalha,Other,12500000,Brazil,36500,3100
632,BBC,BBC,Movies,12500000,United Kingdom,17300,367
633,Infobells Bangla,Infobells Bangla,Education,12500000,Other,147800,704
634,gymvirtual,gymvirtual,Music & Dance,12500000,Mexico,84200,3600
635,Knowledge Tv हिन्दी,Knowledge Tv हिन्दी,Education,12500000,India,47200,2400
636,Melon City Show - برنامج ولاية بطيخ,Melon City Show - برنامج ولاية بطيخ,Other,12500000,Iraq,256000,15800
637,awakeningrecords,Awakening Music,Music & Dance,12500000,Indonesia,19000,1200
638,AdexeOficial,Adexe & Nau,Music & Dance,12500000,Mexico,78900,6200
639,Piuzinho,Piuzinho,AnimationHumor,12500000,Brazil,441400,63000
640,MSA previously My Story Animated,MSA previously My Story Animated,AnimationHumor,12500000,United States,7700000,187700
641,GoldClassics,Goldmines Premiere,Other,12500000,Other,12500,222
642,React,People Vs Food,Food & Drinks,12500000,United States,537900,20600
643,zeebangla,Zee Bangla,Other,12500000,India,24700,337
644,RayWilliamJohnson,Ray William Johnson,AnimationHumor,12500000,United States,2800000,265900
645,rebeccazamolo1,Rebecca Zamolo,Video gamesHumor,12500000,United States,4100000,70800
646,Brawl Stars,Brawl Stars,Animation,12500000,United States,6500000,324000
647,Juliana Baltar,Juliana Baltar,MoviesHumor,12500000,Brazil,173000,11500
648,TalkingAngelaCat,Talking Angela,Music & Dance,12500000,United States,122600,2800
649,StudyIQ IAS,StudyIQ IAS,Education,12300000,India,9400,517
650,karameeshchannel,karameeshchannel,Music & Dance,12300000,Jordan,206600,2100
651,Kabita's Kitchen,Kabita's Kitchen,Other,12300000,India,331600,8800
652,DisneyChannelUK,DisneyChannelUK,MoviesHumor,12300000,Other,40000,402
653,Troom Troom PT,Troom Troom PT,Toys,12300000,Brazil,123700,2700
654,disneyjunior,Disney Junior,Music & Dance,12300000,Other,124200,362
655,Meghan Trainor,Meghan Trainor,Music & Dance,12300000,United States,19100,842
656,DJ Khaled,DJ Khaled,Other,12300000,United States,0,0
657,LOUD,LOUD,Other,12300000,Brazil,104800,8700
658,elliegoulding,elliegoulding,Music & Dance,12300000,United States,9900,801
659,Gibby :),Gibby :),Movies,12300000,Mexico,288400,12200
660,LittleBabyBumEspanol,Little Baby Bum en Español,Education,12300000,Other,79400,0
661,JustForLaughsTV,Just For Laughs Gags,Other,12300000,United States,43600,972
662,1veritasium,Veritasium,Science & Technology,12300000,United States,3300000,175700
663,Bela Bagunça,Bela Bagunça,MoviesAnimation,12300000,Brazil,0,0
664,OficialPeppa,Peppa Pig em Português Brasil - Canal Oficial,MoviesAnimation,12300000,Other,323300,3200
665,JOJO TV - Hindi Stories,JOJO TV - Hindi Stories,Other,12200000,India,100600,713
666,My Mate Nate,My Mate Nate,Other,12100000,Thailand,1600000,52700
667,Blockbuster Movies,Blockbuster Movies,Daily vlogs,12100000,India,163800,1400
668,KompasTVNews,KOMPASTV,News & Politics,12100000,Indonesia,6200,48
669,thinkmusicindia,Think Music India,Music & Dance,12100000,India,28600,1300
670,Mythpat,Mythpat,Other,12100000,India,2600000,246300
671,HZHtube Kids Fun,HZHtube Kids Fun,AnimationToys,12100000,Other,225600,1400
672,Sony Music South,Sony Music South,MoviesAnimation,12100000,India,510100,9300
673,FIFATV,FIFA,Sports,12100000,United States,46300,1900
674,whoisjimmy,How Ridiculous,Video games,12100000,United States,3100000,84700
675,ماشا و الدب,ماشا و الدب,Other,12100000,Other,1000000,9600
676,Davie504,Davie504,Other,12100000,United States,803300,66100
677,TheDodoSite,The Dodo,Animals & Pets,12100000,United States,446400,21000
678,NormanFaitDesVideos,NORMAN FAIT DES VIDÉOS,MoviesAnimation,12100000,France,500800,35900
679,TheDaniRep,DaniRep | +6 Vídeos Diarios De GTA 5 Online!,AnimationVideo games,12100000,Mexico,134200,8700
680,Troom Troom India,Troom Troom India,Other,12100000,India,207400,1600
681,Come Play With Me,Come Play With Me,Toys,12100000,Other,3200000,0
682,officialjassrecords,Jass Records,Music & Dance,12100000,India,33800,2000
683,Más SKabeche,Más SKabeche,Other,12100000,Mexico,3800000,217300
684,officialfuturevideos,Future,Music & Dance,12100000,United States,4300000,115500
685,Codiscos,Codiscos,Music & Dance,12100000,Other,27800,554
686,ndtv,NDTV,News & Politics,11900000,India,5600,80
687,Planet Earth INDIA,Planet Earth INDIA,Daily vlogs,11900000,India,35500,1800
688,DeGoBooM,DeGoBooM,MoviesAnimation,11900000,Mexico,581200,24700
689,Ice Cream Rolls,Ice Cream Rolls,Other,11900000,United States,51600,2000
690,Lulu99,Lulu99,Other,11900000,Colombia,595000,41300
691,KaKa Kids TV - Nursery Rhymes Kids Animated Songs,KaKa Kids TV - Nursery Rhymes Kids Animated Songs,Other,11900000,Other,3600,15
692,gmanews,GMA News,News & Politics,11900000,Philippines,7800,94
693,YairAuriazul,Yair17,MoviesAnimation,11900000,Mexico,474800,68300
694,colinfurze,colinfurze,Video games,11900000,United States,1700000,104300
695,TheInfographicsShow,The Infographics Show,Education,11900000,United States,305200,7700
696,Trakin Tech,Trakin Tech,News & Politics,11900000,India,348600,22800
697,Troom Troom Indonesia,Troom Troom Indonesia,Music & DanceMovies,11900000,Indonesia,150200,1300
698,Panda,Panda,AnimationToys,11900000,India,572200,67300
699,BanderitaX,BanderitaX,AnimationVideo games,11900000,Saudi Arabia,2200000,181800
